repetition_id;tick;patch_id;group_id;group_mode;sows;boars;female_juveniles;male_juveniles;female_piglets;male_piglets;travelled_distance
1;102;439;0;settled;14;16;6;3;7;9;0
1;103;439;0;settled;14;16;6;3;7;9;0
1;104;439;0;settled;14;16;6;3;7;9;0
1;105;439;0;settled;14;16;6;3;7;9;0
1;106;439;0;settled;14;15;6;3;7;9;0
1;107;439;0;settled;14;15;6;3;7;9;0
1;108;439;0;settled;14;15;6;3;7;9;0
1;109;439;0;settled;14;15;6;3;7;9;0
1;110;439;0;settled;14;15;6;3;7;9;0
1;111;439;0;settled;14;15;6;3;7;9;0
1;112;439;0;settled;14;15;6;3;7;8;0
1;113;439;0;settled;14;15;6;3;7;8;0
1;114;439;0;settled;14;15;6;3;6;8;0
1;115;439;0;settled;14;15;6;3;6;8;0
1;116;439;0;settled;14;15;6;3;6;8;0
1;117;439;0;settled;14;15;6;3;6;8;0
1;118;439;0;settled;14;15;6;3;6;8;0
1;119;439;0;settled;14;15;6;3;6;8;0
1;120;439;0;settled;14;14;6;3;6;8;0
1;121;439;0;settled;14;14;5;3;6;8;0
1;122;439;0;settled;14;14;5;3;6;8;0
1;123;439;0;settled;14;14;5;3;6;8;0
1;124;439;0;settled;14;14;5;3;6;8;0
1;125;439;0;settled;14;14;5;3;6;8;0
1;126;439;0;settled;14;14;5;3;6;8;0
1;127;439;0;settled;14;14;5;3;6;8;0
1;128;439;0;settled;14;14;5;3;6;7;0
1;129;439;0;settled;14;14;5;3;6;7;0
1;130;439;0;settled;14;14;5;3;6;7;0
1;131;439;0;settled;14;14;5;3;6;7;0
1;132;439;0;settled;14;14;5;3;6;7;0
1;133;439;0;settled;14;14;5;3;6;7;0
1;134;439;0;settled;14;14;5;3;6;7;0
1;135;439;0;settled;14;14;5;3;6;7;0
1;136;439;0;settled;14;14;5;3;6;7;0
1;137;439;0;settled;14;14;5;3;7;7;0
1;138;439;0;settled;14;14;5;3;7;7;0
1;139;439;0;settled;14;14;5;3;7;7;0
1;140;439;0;settled;14;14;5;3;7;7;0
1;141;439;0;settled;14;14;6;3;6;7;0
1;142;439;0;settled;14;14;6;3;6;7;0
1;143;439;0;settled;14;14;6;3;6;7;0
1;144;439;0;settled;14;13;6;3;6;7;0
1;145;439;0;settled;14;13;6;3;6;7;0
1;146;439;0;settled;14;13;6;3;6;7;0
1;147;439;0;settled;14;13;6;3;6;7;0
1;148;439;0;settled;14;13;6;3;6;7;0
1;149;439;0;settled;14;13;6;3;6;7;0
1;150;439;0;settled;14;13;6;3;6;7;0
1;151;439;0;settled;14;13;6;3;6;7;0
1;152;439;0;settled;14;13;6;3;6;7;0
1;153;439;0;settled;14;13;6;3;6;7;0
1;154;439;0;settled;14;13;6;3;6;7;0
1;155;439;0;settled;14;13;6;3;6;7;0
1;156;439;0;settled;14;13;6;3;6;7;0
1;157;439;0;settled;14;13;6;3;6;7;0
1;158;439;0;settled;14;13;6;3;6;7;0
1;159;439;0;settled;14;13;6;3;6;7;0
1;160;439;0;settled;14;13;6;3;6;7;0
1;161;439;0;settled;14;13;6;3;6;7;0
1;162;439;0;settled;14;13;6;3;6;7;0
1;163;439;0;settled;14;13;6;3;6;7;0
1;164;439;0;settled;14;13;6;3;6;7;0
1;165;439;0;settled;14;13;6;3;6;7;0
1;166;439;0;settled;14;13;6;3;6;7;0
1;167;439;0;settled;14;13;6;3;6;7;0
1;168;439;0;settled;14;13;6;3;5;7;0
1;169;439;0;settled;14;13;6;3;5;7;0
1;170;439;0;settled;14;13;6;3;5;7;0
1;171;439;0;settled;14;13;6;3;5;7;0
1;172;439;0;settled;14;13;6;3;5;7;0
1;173;439;0;settled;14;13;7;3;4;7;0
1;174;439;0;settled;14;13;7;3;4;7;0
1;175;439;0;settled;14;13;7;3;4;7;0
1;176;439;0;settled;14;13;7;3;4;7;0
1;177;439;0;settled;14;13;7;3;4;7;0
1;178;439;0;settled;14;13;7;3;4;7;0
1;179;439;0;settled;14;13;7;3;4;7;0
1;180;439;0;settled;14;13;7;3;4;7;0
1;181;439;0;settled;14;13;7;3;4;7;0
1;182;439;0;settled;14;13;7;3;4;7;0
1;183;439;0;settled;14;13;7;3;4;7;0
1;184;439;0;settled;14;13;7;3;4;7;0
1;185;439;0;settled;14;13;7;3;4;7;0
